Data,Label
139.1,0
132.6,0
142.6,0
143.8,0
160.8,0
182.3,0
202.3,0
209.3,0
200.3,0
187.3,0
174.3,0
162.3,0
166.3,0
165.3,0
161.8,0
163.3,0
167.3,0
183.8,0
199.8,0
181.8,0
169.8,0
155.5,0
140.1,0
132.9,0
123.6,0
121.6,0
120.6,0
128.1,0
121.6,0
136.6,0
155.1,0
159.6,0
153.6,0
154.6,0
144.7,0
133.2,0
131.7,0
126.7,0
125.2,0
131.2,0
141.2,0
157.8,0
184.4,0
169.7,0
160.7,0
144.2,0
128.2,0
120.2,0
118.2,0
120.7,0
124.7,0
145.2,0
185.2,0
213.9,0
245.9,0
247.1,0
238.1,0
229.1,0
221.6,0
214.6,0
216.1,0
221.1,0
213.6,0
201.6,0
199.1,0
210.1,0
227.1,0
201.6,0
185.1,0
160.8,0
154.6,0
134.3,0
134.8,0
131.8,0
138.8,0
146.3,0
185.8,0
226.8,0
246.3,0
248.9,0
238.5,0
213.4,0
219.9,0
205.9,0
219.9,0
219.9,0
212.4,0
206.4,0
201.9,0
206.9,0
238.4,0
195.9,0
181.9,0
156.6,0
151.1,0
139.1,0
133.6,0
132.6,0
133.6,0
150.1,0
183.6,0
229.6,0
247.6,0
243.1,0
236.6,0
227.6,0
215.6,0
212.6,0
216.1,0
219.1,0
202.1,0
196.1,0
202.1,0
200.1,0
223.1,0
196.1,0
184.6,0
164.6,0
147.0,0
140.5,0
131.5,0
130.5,0
134.5,0
150.5,0
194.0,0
228.5,0
251.5,0
245.5,0
236.5,0
231.5,0
216.5,0
209.5,0
212.5,0
212.5,0
202.0,0
199.5,0
193.5,0
200.0,0
215.5,0
189.5,0
186.5,0
161.6,0
144.1,0
142.1,0
130.1,0
135.6,0
136.1,0
148.6,0
171.7,0
223.3,0
246.0,0
248.2,0
242.7,0
232.7,0
216.2,0
215.2,0
216.2,0
215.2,0
202.7,0
195.2,0
194.2,0
200.7,0
203.7,0
184.0,0
181.2,0
164.9,0
137.2,0
132.7,0
124.2,0
120.7,0
128.2,0
132.0,0
138.5,0
159.6,0
177.6,0
185.4,0
177.9,0
167.4,0
155.9,0
145.4,0
145.4,0
143.4,0
140.4,0
141.4,0
150.4,0
154.9,0
169.8,0
155.8,0
149.8,0
133.9,0
126.4,0
124.4,0
116.2,0
113.1,0
117.1,0
118.6,0
110.6,0
119.6,0
134.6,0
148.6,0
145.6,0
143.6,0
123.1,0
115.1,0
111.1,0
114.6,0
113.6,0
115.6,0
127.1,0
134.1,0
161.1,0
153.6,0
139.6,0
132.4,0
125.4,0
115.4,0
106.4,0
110.4,0
113.9,0
121.4,0
118.4,0
126.9,0
142.9,0
148.9,0
143.9,0
137.9,0
129.9,0
123.9,0
119.9,0
120.9,0
120.9,0
125.9,0
127.9,0
145.9,0
173.9,0
157.9,0
153.4,0
135.8,0
128.8,0
121.8,0
118.8,0
115.8,0
124.3,0
140.8,0
164.3,0
203.2,0
232.2,0
243.2,0
234.7,0
220.7,0
202.2,0
209.2,0
208.2,0
210.9,0
203.9,0
194.5,0
199.0,0
190.3,0
214.9,0
191.9,0
178.9,0
137.8,0
131.8,0
132.3,0
130.3,0
124.8,0
130.8,0
146.3,0
185.8,0
217.8,0
246.1,0
239.1,0
237.1,0
231.1,0
212.6,0
208.6,0
215.0,0
225.3,0
226.3,0
222.3,0
214.7,0
204.3,0
220.1,0
193.6,0
177.6,0
160.4,0
145.4,0
130.9,0
132.9,0
132.9,0
133.9,0
145.9,0
183.4,0
224.4,0
241.9,0
236.9,0
235.9,0
225.9,0
210.9,0
210.9,0
219.9,0
230.9,0
228.4,0
221.4,0
220.4,0
214.9,0
218.4,0
196.4,0
187.9,0
165.9,0
145.3,0
136.3,0
134.3,0
126.3,0
133.3,0
150.3,0
176.3,0
226.3,0
253.3,0
254.3,0
258.8,0
250.8,0
232.8,0
220.8,0
237.3,0
233.8,0
220.3,0
220.8,0
225.3,0
229.8,0
220.7,0
193.7,0
181.2,0
163.2,0
147.2,0
134.2,0
127.7,0
133.7,0
131.7,0
142.3,0
158.3,0
181.7,0
211.8,0
219.3,0
216.3,0
210.3,0
188.2,0
174.4,0
171.4,0
170.7,0
174.5,0
175.4,0
187.5,0
184.5,0
195.5,0
179.7,0
163.5,0
148.5,0
138.0,0
131.5,0
124.0,0
119.0,0
120.5,0
120.7,0
120.7,0
133.2,0
149.2,0
159.2,0
170.7,0
170.2,0
161.2,0
149.3,0
149.2,0
143.7,0
148.7,0
150.7,0
162.7,0
170.3,0
184.3,0
170.2,0
180.2,0
148.8,0
134.6,0
126.1,0
121.0,0
123.9,0
124.3,0
144.3,0
157.3,0
195.8,0
220.8,0
233.3,0
229.3,0
223.3,0
209.3,0
198.3,0
203.3,0
212.8,0
208.8,0
205.8,0
205.5,0
194.8,0
208.8,0
183.9,0
164.9,0
149.9,0
136.3,0
128.3,0
120.2,0
120.0,0
124.5,0
129.0,0
121.5,0
133.4,0
153.0,0
169.7,0
165.1,0
173.9,0
159.3,0
154.3,0
147.3,0
144.3,0
143.3,0
144.3,0
156.3,0
170.3,0
188.3,0
170.3,0
160.8,0
150.2,0
134.7,0
125.0,0
118.0,0
122.0,0
127.5,0
143.5,0
170.4,0
224.4,0
251.4,0
257.4,0
253.3,0
245.6,0
227.4,0
227.4,0
234.4,0
231.4,0
213.9,0
210.9,0
211.9,0
211.9,0
224.9,0
197.9,0
187.4,0
162.0,0
146.5,0
138.0,0
137.0,0
132.5,0
140.0,0
149.0,0
178.4,0
218.4,0
250.4,0
248.4,0
244.4,0
232.9,0
223.9,0
212.4,0
219.6,0
210.6,0
213.4,0
211.4,0
217.4,0
210.3,0
221.3,0
198.3,0
187.8,0
171.3,0
153.3,0
140.3,0
130.3,0
133.3,0
142.3,0
153.3,0
174.3,0
223.8,0
245.8,0
247.3,0
242.8,0
211.3,0
211.8,0
219.1,0
220.6,0
227.6,0
210.3,0
203.3,0
193.3,0
194.3,0
216.3,0
192.3,0
186.3,0
165.3,0
145.4,0
135.4,0
129.4,0
127.4,0
129.3,0
145.8,0
157.8,0
173.8,0
199.8,0
202.8,0
193.3,0
177.3,0
158.3,0
159.3,0
157.8,0
160.8,0
154.8,0
148.3,0
161.3,0
185.3,0
183.3,0
167.3,0
158.3,0
152.5,0
131.5,0
122.5,0
119.5,0
114.5,0
120.5,0
117.5,0
112.5,0
121.5,0
143.6,0
156.6,0
161.7,0
158.7,0
144.7,0
140.7,0
136.7,0
130.7,0
128.7,0
127.7,0
132.7,0
152.7,0
172.7,0
161.6,0
159.6,0
141.6,0
127.5,0
122.5,0
113.5,0
113.0,0
113.0,0
114.0,0
121.0,0
122.5,0
142.5,0
155.5,0
154.5,0
150.5,0
142.5,0
133.5,0
129.0,0
125.1,0
121.0,0
123.0,0
135.0,0
142.0,0
175.0,0
165.2,0
157.3,0
138.3,0
126.8,0
118.3,0
115.8,0
116.7,0
125.2,0
140.2,0
164.2,0
206.7,0
227.7,0
237.7,0
228.7,0
219.7,0
204.7,0
208.7,0
213.2,0
214.2,0
204.2,0
196.2,0
195.2,0
186.3,0
215.2,0
199.2,0
183.1,0
162.1,0
154.3,0
145.3,0
134.3,0
138.3,0
130.3,0
142.3,0
166.3,0
207.3,0
230.3,0
232.8,0
227.8,0
220.8,0
208.8,0
208.8,0
207.8,0
209.8,0
200.8,0
192.8,0
190.8,0
184.8,0
209.8,0
191.8,0
186.8,0
161.7,0
146.7,0
134.7,0
128.7,0
128.7,0
130.7,0
140.7,0
159.7,0
204.7,0
228.7,0
228.7,0
224.7,0
203.7,0
200.7,0
201.7,0
214.7,0
209.7,0
201.7,0
193.8,0
191.8,0
181.8,0
206.8,0
190.8,0
181.8,0
162.9,0
146.9,0
137.9,0
129.8,0
126.8,0
130.8,0
139.8,0
157.8,0
197.8,0
226.8,0
222.8,0
220.8,0
215.8,0
202.8,0
204.8,0
212.8,0
202.7,0
198.7,0
190.7,0
189.7,0
187.7,0
206.7,0
187.7,0
181.7,0
161.8,0
150.8,0
133.8,0
133.8,0
137.8,0
127.8,0
128.8,0
120.8,0
161.8,0
184.8,0
186.8,0
181.8,0
174.8,0
157.8,0
147.8,0
150.8,0
148.8,0
146.8,0
144.8,0
145.8,0
149.8,0
169.7,0
171.7,0
155.7,0
141.7,0
129.9,0
119.9,0
111.8,0
111.8,0
110.8,0
115.9,0
98.9,0
115.9,0
132.9,0
143.9,0
143.9,0
138.9,0
133.9,0
128.9,0
123.9,0
117.9,0
117.9,0
118.9,0
124.9,0
136.9,0
167.9,0
163.9,0
156.9,0
135.9,0
129.1,0
121.1,0
115.1,0
114.1,0
119.1,0
127.3,0
151.3,0
199.3,0
217.3,0
219.3,0
215.3,0
208.9,0
196.9,0
203.2,0
200.2,0
207.2,0
201.2,0
190.2,0
188.2,0
180.2,0
208.2,0
191.3,0
174.3,0
142.3,0
141.2,0
134.2,0
130.2,0
129.2,0
127.2,0
136.2,0
156.2,0
202.2,0
217.2,0
225.8,0
223.8,0
213.8,0
201.3,0
217.6,0
215.7,0
213.7,0
202.6,0
197.6,0
191.6,0
182.6,0
203.8,0
190.8,0
186.8,0
140.8,0
143.6,0
131.6,0
122.6,0
129.6,0
130.6,0
140.6,0
154.6,0
197.6,0
222.6,0
226.7,0
227.7,0
218.7,0
202.7,0
208.7,0
210.7,0
208.5,0
189.7,0
190.5,0
193.5,0
181.5,0
202.5,0
188.5,0
177.5,0
160.7,0
145.7,0
130.6,0
125.6,0
127.6,0
125.6,0
131.6,0
161.6,0
203.6,0
224.6,0
229.6,0
227.6,0
221.6,0
212.6,0
213.6,0
219.6,0
215.6,0
204.6,0
202.6,0
206.6,0
196.6,0
193.6,0
184.6,0
175.6,0
150.6,0
134.6,0
133.5,0
121.5,0
127.5,0
126.5,0
140.5,0
164.6,0
209.6,0
234.5,0
234.5,0
230.5,0
207.5,0
210.5,0
215.5,0
207.5,0
211.5,0
205.5,0
199.5,0
196.5,0
193.5,0
203.5,0
183.5,0
177.5,0
157.3,0
138.4,0
131.4,0
128.4,0
118.4,0
120.3,0
125.3,0
132.3,0
170.3,0
186.3,0
193.3,0
191.3,0
179.3,0
164.2,0
156.3,0
156.3,0
152.3,0
155.1,0
151.0,0
157.0,0
159.0,0
177.0,0
167.0,0
153.0,0
145.2,0
127.2,0
117.2,0
111.2,0
109.2,0
106.2,0
108.2,0
96.2,0
111.2,0
126.2,0
142.2,0
145.2,0
149.2,0
134.4,0
130.5,0
126.5,0
126.3,0
121.3,0
116.3,0
123.3,0
133.3,0
147.3,0
165.3,0
158.3,0
144.4,0
127.4,0
116.4,0
109.4,0
107.4,0
112.4,0
122.2,0
154.2,0
203.2,0
233.2,0
236.2,0
228.2,0
226.2,0
214.3,0
206.4,0
209.4,0
218.0,0
212.6,0
214.6,0
211.3,0
200.3,0
208.3,0
191.3,0
176.3,0
157.2,0
145.4,0
130.4,0
127.4,0
123.4,0
131.4,0
138.4,0
191.4,0
210.4,0
249.4,0
242.4,0
236.4,0
240.4,0
208.4,0
212.4,0
215.4,0
212.4,0
217.4,0
224.4,0
221.4,0
208.4,0
218.4,0
191.4,0
189.4,0
162.5,0
147.4,0
141.4,0
124.4,0
119.3,0
121.3,0
150.8,0
163.3,0
213.3,0
237.3,0
239.3,0
237.3,0
235.3,0
216.3,0
207.3,0
215.3,0
218.3,0
195.3,0
189.3,0
187.3,0
191.3,0
206.3,0
189.3,0
179.3,0
145.3,0
132.9,0
132.1,0
129.3,0
127.3,0
127.3,0
124.0,0
161.5,0
211.2,0
237.5,0
238.5,0
234.7,0
231.5,0
215.5,0
212.5,0
219.5,0
236.0,0
225.5,0
209.5,0
203.5,0
194.5,0
214.5,0
195.2,0
182.2,0
156.4,0
141.4,0
127.4,0
119.4,0
116.9,0
114.9,0
125.1,0
163.9,0
214.9,0
234.9,0
234.1,0
230.6,0
220.1,0
209.1,0
205.1,0
208.5,0
202.6,0
196.4,0
188.4,0
188.4,0
175.4,0
185.4,0
183.4,0
181.4,0
161.4,0
143.4,0
130.4,0
128.4,0
120.4,0
123.4,0
118.2,0
134.2,0
170.4,0
201.4,0
193.4,0
189.4,0
174.2,0
161.2,0
154.2,0
146.2,0
152.2,0
145.2,0
149.2,0
149.2,0
151.2,0
155.2,0
155.2,0
152.4,0
137.3,0
129.3,0
106.3,0
103.3,0
107.3,0
104.1,0
94.1,0
87.1,0
109.1,0
130.1,0
145.1,0
144.9,0
141.9,0
129.9,0
123.9,0
110.9,0
113.9,0
112.9,0
113.9,0
121.9,0
124.9,0
143.9,0
161.9,0
157.1,0
136.6,0
123.6,0
110.6,0
110.6,0
107.6,0
112.6,0
113.6,0
156.6,0
187.6,0
214.6,0
218.8,0
220.6,0
209.0,0
196.5,0
200.4,0
202.5,0
201.5,0
189.5,0
183.5,0
179.6,0
175.6,0
179.6,0
177.6,0
169.6,0
147.8,0
134.8,0
127.8,0
117.8,0
124.8,0
123.8,0
117.8,0
169.8,0
201.8,0
219.8,0
224.8,0
216.8,0
211.8,0
202.8,0
207.8,0
207.8,0
205.7,0
200.7,0
191.7,0
193.6,0
182.6,0
191.6,0
185.6,0
167.8,0
155.9,0
144.1,0
129.1,0
127.1,0
128.1,0
122.1,0
128.1,0
152.1,0
197.1,0
222.1,0
227.1,0
225.1,0
215.1,0
206.1,0
207.1,0
204.1,0
207.1,0
201.6,0
190.1,0
189.1,0
183.1,0
192.1,0
191.1,0
175.1,0
157.9,0
148.6,0
128.6,0
134.6,0
123.6,0
121.6,0
120.6,0
160.6,0
194.6,0
220.6,0
221.6,0
220.6,0
217.6,0
200.6,0
202.6,0
207.6,0
213.6,0
209.6,0
181.6,0
174.6,0
186.6,0
191.8,0
183.8,0
179.8,0
157.8,0
136.3,0
130.3,0
122.3,0
121.3,0
118.3,0
131.5,0
167.5,0
216.6,0
254.6,0
256.6,0
247.6,0
243.6,0
223.6,0
223.5,0
221.5,0
214.5,0
208.6,0
201.5,0
200.6,0
193.6,0
205.5,0
185.5,0
169.5,0
144.5,0
148.4,0
134.4,0
134.4,0
133.5,0
123.5,0
118.5,0
133.3,0
164.1,0
184.1,0
192.1,0
187.1,0
180.1,0
164.1,0
155.8,0
152.9,0
153.9,0
152.9,0
148.9,0
152.8,0
151.7,0
156.7,0
163.7,0
155.7,0
145.7,0
131.6,0
122.6,0
113.6,0
111.6,0
109.6,0
93.6,0
97.6,0
142.6,0
135.6,0
146.6,0
145.6,0
146.6,0
138.6,0
134.6,0
135.6,0
124.6,0
121.6,0
120.6,0
119.6,0
132.6,0
140.6,0
161.6,0
161.6,0
141.6,0
124.6,0
120.7,0
118.7,0
112.7,0
116.7,0
118.7,0
152.7,0
195.7,0
220.7,0
229.7,0
228.7,0
219.7,0
207.7,0
219.7,0
214.7,0
212.7,0
205.7,0
206.7,0
208.7,0
189.7,0
191.7,0
192.7,0
184.7,0
156.7,0
151.7,0
132.7,0
128.7,0
126.7,0
130.7,0
129.7,0
159.5,0
199.2,0
224.2,0
232.2,0
230.2,0
223.2,0
209.2,0
218.2,0
223.1,0
229.1,0
225.1,0
211.1,0
201.1,0
197.9,0
205.9,0
188.7,0
185.7,0
167.1,0
140.1,0
136.1,0
133.1,0
132.1,0
147.1,0
141.1,0
167.9,0
212.5,0
241.9,0
244.9,0
246.0,0
238.5,0
221.5,0
218.7,0
222.5,0
225.5,0
214.5,0
192.5,0
216.5,0
207.5,0
210.5,0
192.5,0
185.2,0
171.2,0
150.7,0
134.7,0
128.7,0
132.6,0
135.5,0
129.5,0
170.5,0
220.5,0
240.5,0
241.5,0
239.5,0
234.5,0
213.5,0
213.5,0
215.5,0
219.5,0
208.5,0
172.5,0
197.5,0
190.5,0
190.5,0
196.5,0
189.7,0
159.7,0
143.8,0
139.7,0
126.7,0
116.7,0
131.7,0
121.7,0
165.7,0
210.7,0
241.7,0
239.7,0
234.7,0
225.7,0
200.7,0
208.7,0
213.7,0
214.7,0
202.7,0
192.7,0
183.7,0
174.7,0
174.7,0
196.7,0
175.7,0
164.2,0
142.2,0
135.2,0
130.2,0
126.2,0
124.1,0
115.1,0
131.0,0
165.1,0
185.1,0
191.1,0
188.1,0
174.1,0
164.1,0
153.1,0
148.1,0
151.1,0
150.5,0
153.5,0
153.5,0
156.5,0
168.1,0
163.1,0
153.1,0
138.3,0
128.3,0
123.3,0
115.3,0
113.3,0
110.3,0
99.3,0
98.3,0
111.3,0
129.3,0
140.3,0
144.3,0
144.3,0
135.3,0
129.3,0
128.3,0
120.3,0
120.3,0
121.3,0
131.3,0
140.3,0
148.3,0
165.3,0
158.3,0
136.3,0
127.3,0
114.3,0
114.3,0
117.3,0
119.3,0
116.3,0
154.3,0
210.3,0
229.3,0
229.5,0
224.3,0
212.3,0
207.3,0
216.3,0
209.3,0
210.9,0
199.3,0
191.3,0
191.3,0
180.3,0
179.3,0
186.3,0
175.3,0
162.3,0
137.4,0
132.4,0
127.4,0
135.4,0
128.4,0
120.4,0
155.4,0
202.3,0
222.3,0
222.3,0
220.3,0
216.3,0
202.1,0
204.1,0
201.1,0
207.1,0
200.3,0
190.3,0
185.3,0
176.3,0
178.3,0
187.3,0
181.5,0
159.9,0
142.3,0
129.3,0
125.3,0
123.3,0
126.4,0
120.3,0
160.3,0
200.3,0
227.3,0
229.3,0
226.1,0
212.9,0
205.3,0
207.3,0
213.3,0
209.4,0
203.4,0
198.4,0
185.4,0
176.4,0
182.4,0
187.4,0
183.4,0
164.4,0
146.4,0
129.4,0
128.5,0
131.6,0
125.6,0
122.5,0
162.5,0
213.5,0
233.5,0
235.3,0
229.5,0
224.5,0
209.5,0
206.5,0
211.3,0
210.9,0
206.9,0
201.2,0
204.5,0
204.5,0
206.5,0
187.5,0
186.5,0
161.5,0
160.6,0
135.6,0
127.6,0
132.6,0
125.6,0
121.6,0
156.6,0
200.7,0
223.7,0
223.7,0
223.7,0
215.7,0
206.7,0
209.7,0
209.7,0
215.7,0
208.7,0
191.7,0
192.7,0
188.7,0
200.7,0
192.7,0
177.6,0
159.6,0
145.3,0
134.7,0
130.8,0
125.9,0
123.9,0
112.9,0
136.9,0
158.9,0
181.9,0
186.9,0
180.9,0
179.9,0
163.9,0
156.9,0
154.7,0
155.7,0
152.9,0
152.9,0
159.9,0
168.9,0
174.9,0
172.9,0
149.9,0
143.8,0
130.6,0
118.6,0
114.6,0
112.5,0
114.5,0
101.5,0
103.5,0
115.7,0
128.7,0
138.9,0
146.7,0
144.7,0
135.7,0
126.7,0
124.7,0
125.7,0
133.7,0
128.7,0
133.7,0
139.3,0
154.3,0
164.7,0
157.7,0
138.7,0
124.7,0
117.6,0
111.6,0
109.6,0
113.6,0
114.6,0
151.1,0
192.2,0
221.2,0
223.8,0
225.8,0
214.8,0
201.2,0
201.2,0
205.2,0
211.1,0
199.1,0
194.1,0
187.1,0
179.1,0
182.2,0
180.2,0
172.2,0
154.2,0
133.2,0
128.2,0
120.2,0
121.2,0
126.2,0
116.0,0
160.0,0
196.0,0
223.0,0
230.0,0
228.0,0
218.0,0
201.0,0
206.0,0
208.0,0
208.0,0
199.0,0
196.0,0
193.0,0
181.0,0
180.0,0
183.0,0
184.0,0
158.0,0
142.0,0
123.0,0
120.0,0
129.0,0
125.0,0
119.8,0
155.8,0
197.8,0
225.8,0
221.8,0
218.3,0
210.8,0
196.8,0
207.8,0
207.8,0
207.8,0
198.8,0
190.8,0
186.8,0
179.8,0
180.8,0
192.8,0
177.8,0
161.8,0
144.8,0
128.8,0
123.8,0
124.8,0
123.8,0
124.8,0
157.8,0
200.8,0
227.8,0
232.9,0
232.9,0
221.9,0
208.9,0
209.9,0
203.9,0
204.9,0
197.9,0
195.9,0
181.9,0
174.9,0
174.9,0
183.9,0
174.9,0
159.8,0
141.8,0
135.8,0
144.8,0
128.8,0
128.8,0
114.7,0
158.5,0
195.5,0
222.5,0
223.5,0
220.4,0
214.5,0
198.5,0
199.6,0
205.6,0
200.6,0
192.6,0
192.6,0
186.6,0
173.6,0
168.6,0
177.6,0
171.8,0
155.8,0
146.3,0
126.3,0
121.3,0
128.3,0
132.3,0
111.3,0
127.3,0
151.8,0
175.8,0
182.8,0
182.8,0
169.8,0
157.8,0
153.8,0
148.7,0
145.7,0
141.7,0
142.7,0
145.7,0
142.7,0
143.9,0
161.8,0
100.9,0
139.9,0
131.0,0
120.0,0
114.0,0
110.0,0
111.0,0
96.5,0
97.5,0
109.5,0
127.0,0
139.0,0
137.0,0
139.0,0
128.0,0
123.0,0
120.0,0
116.2,0
116.2,0
121.2,0
119.9,0
125.9,0
133.4,0
161.4,0
156.4,0
140.4,0
128.4,0
122.4,0
119.4,0
119.4,0
124.4,0
113.0,0
145.5,0
191.0,0
215.0,0
218.0,0
215.7,0
213.4,0
200.4,0
210.7,0
208.7,0
211.9,0
199.9,0
190.4,0
188.6,0
175.6,0
176.6,0
181.6,0
172.6,0
158.6,0
138.6,0
138.6,0
134.6,0
126.6,0
128.6,0
122.6,0
152.6,0
197.4,0
225.4,0
235.4,0
233.4,0
224.4,0
212.4,0
211.9,0
221.7,0
222.7,0
212.7,0
205.9,0
192.9,0
186.9,0
183.9,0
189.9,0
198.9,0
171.9,0
146.9,0
140.9,0
131.9,0
134.9,0
129.7,0
129.9,0
161.4,0
206.9,0
235.9,0
238.9,0
236.9,0
230.9,0
221.9,0
220.9,0
222.9,0
223.9,0
219.4,0
210.9,0
205.9,0
194.9,0
175.9,0
185.9,0
183.9,0
168.9,0
147.8,0
137.8,0
133.8,0
134.8,0
131.8,0
124.8,0
162.3,0
200.8,0
226.8,0
232.8,0
232.6,0
228.6,0
207.6,0
218.6,0
219.6,0
220.6,0
215.6,0
206.6,0
193.6,0
187.6,0
179.6,0
188.6,0
189.6,0
165.9,0
146.7,0
133.7,0
129.4,0
126.7,0
131.7,0
127.5,0
163.7,0
201.7,0
228.3,0
237.3,0
240.3,0
239.3,0
213.3,0
215.2,0
216.0,0
217.0,0
203.2,0
196.2,0
190.2,0
180.2,0
168.0,0
182.0,0
171.0,0
150.8,0
142.9,0
124.7,0
124.7,0
121.5,0
116.5,0
104.5,0
116.5,0
144.1,0
155.1,0
161.1,0
158.9,0
165.9,0
150.4,0
140.9,0
136.9,0
136.9,0
132.9,0
129.9,0
131.9,0
135.9,0
139.9,0
151.9,0
147.9,0
136.2,0
127.2,0
120.7,0
113.2,0
112.7,0
110.2,0
92.2,0
95.2,0
109.2,0
121.2,0
127.2,0
133.2,0
129.2,0
121.7,0
112.7,0
111.2,0
114.2,0
108.2,0
114.1,0
119.1,0
122.1,0
130.1,0
156.1,0
157.1,0
143.2,0
125.2,0
110.2,0
112.2,0
114.2,0
118.2,0
125.2,0
155.2,0
189.2,0
217.2,0
219.2,0
221.2,0
216.2,0
205.2,0
210.2,0
211.6,0
214.6,0
203.4,0
188.4,0
186.5,0
178.5,0
177.5,0
187.5,0
182.5,0
166.6,0
150.6,0
134.6,0
130.6,0
130.6,0
129.5,0
127.5,0
156.5,0
199.5,0
234.5,0
232.8,0
232.8,0
224.7,0
212.6,0
212.9,0
222.9,0
220.9,0
219.9,0
205.7,0
188.6,0
185.7,0
188.7,0
191.8,0
180.8,0
167.8,0
144.6,0
137.6,0
142.6,0
132.6,0
128.6,0
124.6,0
157.6,0
203.6,0
235.9,0
230.6,0
233.6,0
210.6,0
208.6,0
215.6,0
217.6,0
216.6,0
208.6,0
202.8,0
189.7,0
180.5,0
180.5,0
199.5,0
182.6,0
170.6,0
149.6,0
136.6,0
128.6,0
130.6,0
132.6,0
125.8,0
166.8,0
200.6,0
232.7,0
235.6,0
233.5,0
230.5,0
217.5,0
218.5,0
222.5,0
225.5,0
216.5,0
207.5,0
195.5,0
182.0,0
178.7,0
185.8,0
182.8,0
159.0,0
146.8,0
145.9,0
137.8,0
129.9,0
131.7,0
129.7,0
155.7,0
215.7,0
228.7,0
237.7,0
234.9,0
238.9,0
217.2,0
217.2,0
221.9,0
222.9,0
210.9,0
183.8,0
197.8,0
185.5,0
175.5,0
181.5,0
179.6,0
150.6,0
147.3,0
136.3,0
133.3,0
132.3,0
132.3,0
120.3,0
134.3,0
168.3,0
191.8,0
194.8,0
191.1,0
177.5,0
171.5,0
157.5,0
159.4,0
159.4,0
162.4,0
158.4,0
168.4,0
163.4,0
139.4,0
166.4,0
156.1,0
145.4,0
136.7,0
125.7,0
121.7,0
119.7,0
121.7,0
104.6,0
106.6,0
115.4,0
129.4,0
142.4,0
142.4,0
140.4,0
134.4,0
129.4,0
128.4,0
125.4,0
127.4,0
128.8,0
136.8,0
138.8,0
139.8,0
163.0,0
156.0,0
141.0,0
125.0,0
125.0,0
121.0,0
119.0,0
123.0,0
118.0,0
154.0,0
197.0,0
226.0,0
227.0,0
224.0,0
223.0,0
212.1,0
213.1,0
221.1,0
219.1,0
209.1,0
209.1,0
192.1,0
180.1,0
173.1,0
185.0,0
177.0,0
153.0,0
146.0,0
147.8,0
131.8,0
124.8,0
127.8,0
120.8,0
156.8,0
190.8,0
227.8,0
225.8,0
221.1,0
229.8,0
213.7,0
216.5,0
222.5,0
225.5,0
212.5,0
205.5,0
194.5,0
181.5,0
181.5,0
186.7,0
181.0,0
157.0,0
145.0,0
137.0,0
131.0,0
133.0,0
130.0,0
125.0,0
164.0,0
199.0,0
239.0,0
237.0,0
229.4,0
225.0,0
208.0,0
211.0,0
212.0,0
218.0,0
210.0,0
199.0,0
176.0,0
173.0,0
175.0,0
183.0,0
171.0,0
162.4,0
148.4,0
136.4,0
125.4,0
127.4,0
127.4,0
121.4,0
156.2,0
195.2,0
221.2,0
228.2,0
222.2,0
220.2,0
205.2,0
220.2,0
214.2,0
215.2,0
211.4,0
202.4,0
191.2,0
187.4,0
177.4,0
186.4,0
183.4,0
164.8,0
148.0,0
137.0,0
137.0,0
130.9,0
128.9,0
123.9,0
150.9,0
194.9,0
224.9,0
226.9,0
224.9,0
219.9,0
205.9,0
206.9,0
213.9,0
215.9,0
209.9,0
197.6,0
188.6,0
178.6,0
172.6,0
182.6,0
182.6,0
156.4,0
141.3,0
142.3,0
135.3,0
130.3,0
129.3,0
115.3,0
126.3,0
158.3,0
176.3,0
179.3,0
178.3,0
173.3,0
161.3,0
151.3,0
146.3,0
154.3,0
146.3,0
152.3,0
150.3,0
149.3,0
142.1,0
159.8,0
158.2,0
141.2,0
130.2,0
125.2,0
119.0,0
113.0,0
114.8,0
100.8,0
98.8,0
110.8,0
129.0,0
133.0,0
134.0,0
134.8,0
131.0,0
123.8,0
118.8,0
118.8,0
118.8,0
121.7,0
124.9,0
129.9,0
126.7,0
160.7,0
153.7,0
146.9,0
133.9,0
128.8,0
125.8,0
121.8,0
123.8,0
119.8,0
152.6,0
190.6,0
225.4,0
224.6,0
227.6,0
222.5,0
220.5,0
219.5,0
223.5,0
222.5,0
219.5,0
211.5,0
201.5,0
184.5,0
180.7,0
188.7,0
175.7,0
168.5,0
120.4,0
139.3,0
134.3,0
133.3,0
136.0,0
124.8,0
157.8,0
199.1,0
228.1,0
233.1,0
237.1,0
227.1,0
216.1,0
216.1,0
222.1,0
226.1,0
217.1,0
210.6,0
201.4,0
189.4,0
180.4,0
185.2,0
182.2,0
166.1,0
150.1,0
133.1,0
133.8,0
129.8,0
130.8,0
127.8,0
163.8,0
204.2,0
225.2,0
232.5,0
232.5,0
230.5,0
213.5,0
215.5,0
217.5,0
219.5,0
214.4,0
206.2,0
193.4,0
180.4,0
172.4,0
186.4,0
182.5,0
172.4,0
153.4,0
146.3,0
131.3,0
134.3,0
132.3,0
136.3,0
157.3,0
206.3,0
251.3,0
230.6,0
235.8,0
227.8,0
212.8,0
215.5,0
223.3,0
220.5,0
223.3,0
198.3,0
196.3,0
182.3,0
175.3,0
185.3,0
185.7,0
167.9,0
146.9,0
139.9,0
128.9,0
130.9,0
130.7,0
119.7,0
